name,description,price,stock,category
Wireless Mouse,Ergonomic wireless mouse with adjustable DPI and silent clicks.,29.99,100,Computer Peripherals
Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches.,89.5,50,Computer Peripherals
Smartphone Stand,Adjustable aluminum phone stand with anti-slip base.,15.75,200,Accessories
Bluetooth Headphones,Noise-canceling over-ear headphones with 40-hour battery life.,120.0,30,Audio
USB-C Hub,"7-in-1 USB-C hub with HDMI, USB 3.0, and SD card reader.",45.99,75,Accessories
Gaming Monitor,27-inch 144Hz gaming monitor with 1ms response time.,299.99,20,Computer Peripherals
Portable SSD,1TB external SSD with USB-C and high-speed data transfer.,149.99,60,Accessories
Wireless Charger,Fast wireless charging pad for multiple devices.,39.99,80,Accessories
Noise-Canceling Earbuds,In-ear earbuds with active noise cancellation and long battery life.,99.99,40,Audio
Mechanical Pencil,Premium aluminum mechanical pencil for precision writing.,12.99,150,Accessories
